file,line,declaration,value,durations_ms,status,evidence_level
client/src/index.css,30,transition-duration,300ms !important,300.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,32,transition-duration,300ms !important,300.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,35,transition,top 180ms ease-out,180.0,Intentional/needs review exception outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,39,transition,"color 250ms cubic-bezier(.23,1,.32,1)",250.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,39,transition,"width 250ms cubic-bezier(.23,1,.32,1)",250.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,40,transition,"transform 240ms cubic-bezier(.23,1,.32,1),box-shadow 240ms cubic-bezier(.23,1,.32,1),filter 240ms cubic-bezier(.23,1,.32,1) !important","240.0, 240.0, 240.0",Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,41,transition,"all 240ms cubic-bezier(.23,1,.32,1)",240.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,41,transition,background 200ms ease,200.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,43,animation,"hero-enter 650ms cubic-bezier(.23,1,.32,1) forwards",650.0,Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,44,transition,"all 240ms cubic-bezier(.23,1,.32,1)",240.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,45,transition,"all 240ms cubic-bezier(.23,1,.32,1)",240.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,49,transition,"transform 300ms cubic-bezier(.23,1,.32,1),border-color 300ms cubic-bezier(.23,1,.32,1),box-shadow 300ms cubic-bezier(.23,1,.32,1)","300.0, 300.0, 300.0",Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,49,transition,"all 300ms cubic-bezier(.23,1,.32,1)",300.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,49,transition,"all 420ms cubic-bezier(.23,1,.32,1)",420.0,Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,50,transition,"color 220ms cubic-bezier(.23,1,.32,1)",220.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,50,transition,"transform 220ms cubic-bezier(.23,1,.32,1)",220.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,51,transition,"transform 300ms cubic-bezier(.23,1,.32,1),border-color 300ms cubic-bezier(.23,1,.32,1)","300.0, 300.0",Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,51,transition,"all 250ms cubic-bezier(.23,1,.32,1)",250.0,Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,55,transition,"opacity 700ms cubic-bezier(.23,1,.32,1),transform 700ms cubic-bezier(.23,1,.32,1)","700.0, 700.0",Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,58,animation-duration,1ms !important,1.0,Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,58,transition-duration,1ms !important,1.0,Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/index.css,61,transition,"border-color 320ms cubic-bezier(.23,1,.32,1),transform 320ms cubic-bezier(.23,1,.32,1),box-shadow 320ms cubic-bezier(.23,1,.32,1)","320.0, 320.0, 320.0",Within routine 200–350 ms range,Static source declaration; runtime feel not tested here.
client/src/index.css,61,transition,"transform 800ms cubic-bezier(.23,1,.32,1),filter 500ms ease","800.0, 500.0",Documented exception: entrance/reveal or image treatment outside routine range,Static source declaration; runtime feel not tested here.
client/src/pages/EmberSignal.tsx,183,Tailwind duration utility,duration-300,300,Within routine 200–350 ms range,Static source utility; runtime feel not tested here.
client/src/pages/EmberSignal.tsx,217,Tailwind duration utility,duration-700,700,Intentional/needs review exception outside routine range,Static source utility; runtime feel not tested here.
client/src/pages/Home.tsx,316,Tailwind duration utility,duration-300,300,Within routine 200–350 ms range,Static source utility; runtime feel not tested here.
client/src/pages/LumaIntelligence.tsx,137,Tailwind duration utility,duration-300,300,Within routine 200–350 ms range,Static source utility; runtime feel not tested here.
client/src/pages/LumaIntelligence.tsx,154,Tailwind duration utility,duration-300,300,Within routine 200–350 ms range,Static source utility; runtime feel not tested here.
client/src/pages/LumaIntelligence.tsx,207,Tailwind duration utility,duration-300,300,Within routine 200–350 ms range,Static source utility; runtime feel not tested here.
